name,kv_anhhuong,time_start,lon,lat,level,disaster_level,type
Động đất tại Kon Tum,Xã Ngọk Tem - huyện Kon Plông - tỉnh Kon Tum,2022-04-28T02:38:00,108.315,14.824,0,,Động đất
Sạt lở đất tại Cà Mau,Ấp Xóm Tắc - xã Tân Thuận - huyện Đầm Dơi - tỉnh Cà Mau,2022-06-19T13:00:00,105.370478,9.017483,0,,Sạt lở đất
Sét tại Điện Biên,Xã Sính Phình - huyện Tủa Chùa - tỉnh Điện Biên,2022-05-08T13:30:00,103.31001,21.873815,0,1,Sét
Động đất tại Kon Tum,"Xã Đăk Ring, Huyện Kon Plông, tỉnh  Kon Tum",2022-03-09T19:50:00,108.259,14.879,0,,Động đất
Động đất tại Kon Tum,"Xã Đăk Ring, Huyện Kon Plông, tỉnh Kon Tum",2022-03-09T19:36:00,108.259,14.873,0,,Động đất
Sạt lở đất tại Cà Mau,Ấp Ngã Oác - xã Quách Phẩm - huyện Đầm Dơi - tỉnh Cà Mau,2022-06-18T10:10:00,105.259233,8.855041,0,,Sạt lở đất
Động đất tại Kon Tum,Xã Ngọc Yêu - huyện Tu Mơ Rông - tỉnh Kon Tum,2022-04-17T19:06:00,108.125,14.935,0,,Động đất
Mưa lớn kèm theo lốc tại Nghệ An,"Huyện Kỳ Sơn, Tương Dương, Con Cuông, Đô Lương, Tân Kỳ, Quế Phong, Quỳ Châu, Quỳ Hợp và Anh Sơn - tỉnh Nghệ An",2022-02-19T07:00:00,104.536346,19.3251,0,,Mưa lớn
Động đất tại Kon Tum,Xã Măng Buk - Huyện Kon Plông - tỉnh Kon Tum,2022-06-22T02:04:00,108.23,14.89,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-03-11T21:03:00,108.224,14.939,0,,Động đất
,xã Trà Giác - huyện Bắc Trà My - tỉnh Quảng Nam,2022-03-11T02:07:00,108.23,15.244,0,,Động đất
Động đất tại Quảng Nam,xã Trà Giáp - huyện Bắc Trà My - tỉnh Quảng Nam,2022-03-11T01:48:00,108.274,15.242,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Tăng - huyện Kon Plông - tỉnh Kon Tum,2022-04-17T21:58:00,108.216,14.837,0,,Động đất
Sạt lở đất tại Đồng Tháp,Xã Bình Thành - huyện Thanh Bình - tỉnh Đồng Tháp,2022-04-06T07:00:00,105.549693,10.572582,0,,Sạt lở đất
Lốc xoáy tại Cần Thơ,"Phường Thới Long, Long Hưng - quận Ô Môn - TP.Cần Thơ",2022-04-05T20:45:00,105.563086,10.159411,0,,Lốc
"Mưa kèm theo lốc, sét tại Tuyên Quang","Các xã Thái Hòa, Tân Thành, Bình Xa, Minh Hương, Thái Sơn, Thái Hoà, Bằng Cốc, Minh Dân, Đức Ninh - huyện Hàm Yên - tỉnh Tuyên Quang",2022-06-22T23:00:00,105.000929,22.187347,0,,"Dông lốc, sét, mưa đá"
Mưa dông tại Điện Biên,Huyện Nậm Pồ - tỉnh Điện Biên,2022-03-28T19:00:00,102.901,21.987,0,,Mưa lớn
Động đất tại Kon Tum,Xã Ngok Tem - huyện Kon Plông - tỉnh Kon Tum,2022-04-10T17:53:00,108.399,14.82,0,,Động đất
Động đất tại Kon Tum,Xã Ngọk Tem - huyện Kon Plông - tỉnh Kon Tum,2022-06-23T21:28:00,108.294,14.834,0,,Động đất
