name,type,start_date,end_date,influence_area
Áp thấp nhiệt đới trên biển Đông,Áp thấp nhiệt đới,12/02/2025,14/02/2025,Biển Đông
Cơn bão số 10 - PABUK,Bão,21/12/2024,25/12/2024,"Vùng biển phía Tây Nam khu vực Giữa Biển Đông, vùng biển ngoài khơi từ Ninh Thuận đến Bà Rịa-Vũng Tàu (bao gồm huyện đảo Phú Quý)"
Cơn bão số 9 - MANYI,Bão,16/11/2024,20/11/2024,Biển Đông
Bão gần biển Đông - Cơn bão USAGI,Bão,14/11/2024,16/11/2024,Vùng biển phía Đông khu vực Bắc Biển Đông
Cơn bão số 8 - TORAJI,Bão,10/11/2024,14/11/2024,Bắc Biển Đông
Cơn bão số 7 - YINXING,Bão,06/11/2024,12/11/2024,Biển Đông
Cơn bão số 6 - TRAMI,Bão,22/10/2024,28/10/2024,"Hà Tĩnh - Quảng Nam, Vịnh Bắc Bộ, vùng biển từ Quảng Trị đến Ninh Thuận và phía Bắc của khu vực Bắc Biển Đông"
Cơn bão số 5 - KRATHON,Bão,30/09/2024,03/10/2024,Vùng biển phía Đông Bắc khu vực Bắc Biển Đông
Cơn bão số 4 - SOULIK,Bão,16/09/2024,19/09/2024,"Biển Đông, Bắc và Trung Trung Bộ"
Cơn bão số 2 - PRAPIROON,Bão,19/07/2024,,vùng ven biển Quảng Ninh-Hải Phòng
Áp thấp nhiệt đới trên biển đông,Áp thấp nhiệt đới,13/07/2024,16/07/2024,Vùng ven biển khu vực miền Trung
Cơn bão số 1 - MALIKSI,Bão,30/05/2024,01/06/2024,Biển Đông
Bão JELAWAT,Bão,17/12/2023,21/12/2023,Biển Đông
Cơn bão số 5,Bão,16/10/2023,20/10/2023,Biển Đông
Cơn bão số 4 - KOINU,Bão,03/10/2023,10/10/2023,Biển Đông
Áp thấp nhiệt đới,Áp thấp nhiệt đới,24/09/2023,26/09/2023,Bắc và Trung Trung Bộ
Cơn bão số 3 - SAOLA,Bão,29/08/2023,03/09/2023,Vùng ven biển phía Tây bán đảo Lôi Châu (Trung Quốc)
Cơn bão số 2 - DOKSURI,Bão,24/07/2023,28/07/2023,Biển Đông
Cơn bão số 1 - TALIM,Bão,13/07/2023,18/07/2023,Biển Đông
Áp thấp nhiệt đới trên biển Đông,Áp thấp nhiệt đới,05/05/2023,07/05/2023,Biển Đông
Cơn bão số 7 - NALGAE,Bão,28/10/2022,03/11/2022,Biển Đông
Áp thấp nhiệt đới trên Biển Đông,Áp thấp nhiệt đới,21/10/2022,23/10/2022,Bắc Biển Đông
Cơn bão số 6 - NESAT,Bão,15/10/2022,20/10/2022,Biển Đông
Cơn bão số 5 - SONCA,Bão,12/10/2022,15/10/2022,Biển Đông và các tỉnh ven biển miền Trung
Cơn bão số 4 - NORU,Bão,24/09/2022,28/09/2022,Khu vực vùng biển miền Trung
Cơn bão số 3 - MAON,Bão,22/08/2022,26/08/2022,Biển đông
Cơn bão số 2 - MULAN,Bão,07/08/2022,11/08/2022,Khu vực Đông Bắc của Bắc Bộ.
Ấp thấp nhiệt đới trên biển Đông,Áp thấp nhiệt đới,04/08/2022,04/08/2022,Biển đông
Cơn bão số 1 - CHABA,Bão,28/06/2022,03/07/2022,Biến Đông
Cơn bão số 9 - Rai,Bão,15/12/2021,20/12/2021,Trên khu vực biển Đông
Áp thấp nhiệt đới trên biển Đông,Áp thấp nhiệt đới,24/10/2021,27/10/2021,Thừa Thiên Huế đến Khánh Hòa và Tây Nguyên
Cơn bão số 8 - Kompasu,Bão,10/10/2021,14/10/2021,Từ Nam Định đến Thanh Hóa
Cơn bão số 7 - LIONROCK,Bão,05/10/2021,10/10/2021,Từ Hải Phòng đến Nam Định
Sạt lở đất tại Lâm Đồng,Sạt lở đất do mưa lũ hoặc dòng chảy,29/09/2021,29/09/2021,Phường 7 - thành phố Đà Lạt - tỉnh Lâm Đồng
Mưa lớn tại Hà Tĩnh,Mưa lớn,25/09/2021,25/09/2021,"Xã Kỳ Anh, Sơn Tiến, Sơn Bằng, Kim Giang, Đức Bồng, Đức Giang, Đức Lĩnh, Đức Hương - huyện Hương Sơn, Vũ Quang, Đức Thọ - tỉnh Hả Tĩnh"
Ngập lụt tại Quảng Ninh,Ngập lụt,24/09/2021,24/09/2021,Thành phố Cẩm Phả - Tỉnh Quảng Ninh
Mưa lớn tại Quảng Nam,Mưa lớn,23/09/2021,23/09/2021,Huyện Phước Sơn - tỉnh Quảng Nam
Sạt lở đất tại Phú Thọ,Sạt lở đất do mưa lũ hoặc dòng chảy,23/09/2021,24/09/2021,"Xã Tân Minh, Thượng Cửu - Huyện Thanh Sơn - Tỉnh Phú Thọ"
Mưa lớn tại Hoà Bình,Mưa lớn,23/09/2021,25/09/2021,"Huyện Đà Bắc, Mai Châu - Tỉnh Hoà Bình"
Cơn bão số 6 (DIANMU),Bão,23/09/2021,24/09/2021,Thừa Thiên Huế đến Quảng Nam
Ngập lụt tại Bình Thuận,Ngập lụt,22/09/2021,22/09/2021,"Phan Sơn, Phan Tiến, Hải Ninh, Sông Bình và thị trấn Chợ Lầu - huyện Bắc Bình - Tỉnh Bình Thuận"
Mưa lớn gây ngập tại Tây Ninh,Ngập lụt,21/09/2021,21/09/2021,Ấp Phước Hưng - xã Phước Chỉ - thị xã Trảng Bàng
Mưa lớn gây lũ tại Bình Thuận,Lũ,20/09/2021,20/09/2021,Xã Phan Sơn - huyện Bắc Bình - tỉnh Bình Thuận
Mưa kèm theo lốc tại Lào Cai,Lốc,19/09/2021,20/09/2021,"Xã Bản Liền, Cốc Ly - Huyện Bắc Hà - tỉnh Lào Cai"
Mưa lớn tại Yên Bái,Mưa lớn,19/09/2021,20/09/2021,"Xã Yên Thái, Kiên Thành, Hồng Ca, Đông Cuông - huyện Văn Yên, Trấn Yên, Lục Yên - tỉnh Yên Bái"
Mưa lớn gây sạt lở tại Lào Cai,Sạt lở đất do mưa lũ hoặc dòng chảy,19/09/2021,20/09/2021,Xã Dìn Chin - huyện Mường Khương - tỉnh Lào Cai
Mưa lớn tại Hà Giang,Mưa lớn,19/09/2021,20/09/2021,"Xã Nà Chì, Bản Díu, Thanh Thủy, Xuân Minh, Tân Nam, Việt Lâm - huyện Xín Mần, Vị Xuyên, Quang Bình - tỉnh Hà Giang"
Mưa lớn kèm lốc tại Tây Ninh,Mưa lớn,19/09/2021,19/09/2021,Thị xã Tràng Bảng - tỉnh Tây Ninh
Mưa lớn gây ngập lụt tại Tây Ninh,Ngập lụt,19/09/2021,19/09/2021,xã Suối Đá - huyện Dương Minh Châu - tỉnh Tây Ninh
Mưa lớn tại Bình Thuận,Mưa lớn,18/09/2021,18/09/2021,Xã Phan Tiến - huyện Bắc Bình - tỉnh Bình Thuận
Mưa lớn kèm lốc tại Tây Ninh,Lốc,18/09/2021,18/09/2021,Xã Tiên Thuận - huyện Bến Cầu - tỉnh Tây Ninh
Mưa kèm lốc tại Tây Ninh,Lốc,18/09/2021,18/09/2021,Thành phố Tây Ninh - tỉnh Tây Ninh
Mưa lớn tại Bình Thuận,Mưa lớn,17/09/2021,17/09/2021,Xã Trà Tân - huyện Đức Linh - tỉnh Bình Thuận
"Dông, lốc, sét tại Gia Lai","Mưa dông kèm theo lốc, sét và mưa đá",17/09/2021,17/09/2021,Huyện Ia Grai - tỉnh Gia Lai
Mưa kèm theo lốc tại Tây Ninh,Lốc,17/09/2021,18/09/2021,"xã Tân Phong, Mỏ Công, Thạnh Bắc - huyện Tân Biên - tỉnh Tây Ninh"
Sạt lở đất tại Cà Mau,Sạt lở đất do mưa lũ hoặc dòng chảy,16/09/2021,16/09/2021,Ấp Thuận Hòa B - xã Tân Thuận - huyện Đầm Dơi - tỉnh Cà Mau
Sét tại Hà Nội,Sét,15/09/2021,15/09/2021,"Xã Kiêu Kỵ, huyện Gia Lâm, Hà Nội"
Mưa lớn kèm lũ ống tại Gia Lai,Lũ,09/09/2021,09/09/2021,xã Đất Bằng - huyện Krông Pa - tỉnh Gia Lai
"Mưa kèm dông, lốc tại Cà Mau",Lốc,09/09/2021,09/09/2021,xã Khánh An - huyện U Minh - tỉnh Cà Mau
"Dông, lốc tại Cà Mau",Lốc,08/09/2021,09/09/2021,Ấp Nhị Nguyệt - xã Trần Phán - huyện Đầm Dơi - tỉnh Cà Mau
Cơn bão số 5 (Conson),Bão,07/09/2021,12/09/2021,Từ Đà Nẵng đến Quảng Ngãi
Sét tại Quảng Ninh,Sét,05/09/2021,05/09/2021,Xã Hoàng Tân - thị xã Quảng Yên - tỉnh Quảng Ninh
Mưa lớn tại Bắc Kạn,Mưa lớn,03/09/2021,04/09/2021,"Huyện Chợ Đồn; Chợ Mới; Bạch Thông, tỉnh Bắc Kạn"
Mưa lớn kèm dông sét tại Hà Giang,Mưa lớn,03/09/2021,04/09/2021,Huyện Hoàng Su Phì và Bắc Mê - tỉnh Hà Giang
Mưa lớn tại Tây Ninh,Mưa lớn,02/09/2021,07/09/2021,xã Phước Chí - thị xã Tràng Bàng - tỉnh Tây Ninh
