,name,time_start,lon,lat,level,type,province
0,Động đất tại Kon Tum,2022-04-28,108.315,14.824,0,Động đất,Kon Tum
1,Sạt lở đất tại Cà Mau,2022-06-19,105.370478,9.017483,0,Sạt lở đất,Ca Mau
2,Sét tại Điện Biên,2022-05-08,103.31001,21.873815,0,Sét,Đien Bien
3,Động đất tại Kon Tum,2022-03-09,108.259,14.879,0,Động đất,Kon Tum
4,Động đất tại Kon Tum,2022-03-09,108.259,14.873,0,Động đất,Kon Tum
5,Sạt lở đất tại Cà Mau,2022-06-18,105.259233,8.855041,0,Sạt lở đất,Ca Mau
6,Động đất tại Kon Tum,2022-04-17,108.125,14.935,0,Động đất,Kon Tum
7,Mưa lớn kèm theo lốc tại Nghệ An,2022-02-19,104.536346,19.3251,0,Mưa lớn,Nghe An
8,Động đất tại Kon Tum,2022-06-22,108.23,14.89,0,Động đất,Kon Tum
9,Động đất tại Kon Tum,2022-03-11,108.224,14.939,0,Động đất,Kon Tum
11,Động đất tại Quảng Nam,2022-03-11,108.274,15.242,0,Động đất,Quang Nam
12,Động đất tại Kon Tum,2022-04-17,108.216,14.837,0,Động đất,Kon Tum
13,Sạt lở đất tại Đồng Tháp,2022-04-06,105.549693,10.572582,0,Sạt lở đất,Đong Thap
14,Lốc xoáy tại Cần Thơ,2022-04-05,105.563086,10.159411,0,Lốc,Can Tho
15,"Mưa kèm theo lốc, sét tại Tuyên Quang",2022-06-22,105.000929,22.187347,0,"Dông lốc, sét, mưa đá",Tuyen Quang
16,Mưa dông tại Điện Biên,2022-03-28,102.901,21.987,0,Mưa lớn,Đien Bien
17,Động đất tại Kon Tum,2022-04-10,108.399,14.82,0,Động đất,Kon Tum
18,Động đất tại Kon Tum,2022-06-23,108.294,14.834,0,Động đất,Kon Tum
19,Mưa kèm theo lốc tại Tiền Giang,2022-06-23,106.406651,10.361067,0,Lốc,Tien Giang
20,Lũ tại Lào Cai,2022-04-29,103.786935,22.413208,0,Lũ,Lao Cai
21,Mưa dông kèm lốc tại Tiền Giang,2022-06-22,106.679834,10.387609,0,Lốc,Tien Giang
22,Mưa kèm theo lốc tại Thái Nguyên,2022-06-22,105.597412,21.687608,0,Lốc,Thai Nguyen
23,Động đất tại Kon Tum,2022-04-15,108.241,14.848,0,Động đất,Kon Tum
25,Dông sét tại Bình Thuận,2022-02-22,107.67941,11.09545,0,Sét,Binh Thuan
26,Động đất tại Kon Tum,2022-04-15,108.217,14.821,0,Động đất,Kon Tum
27,Động đất tại Kon Tum,2022-06-24,108.289,14.892,0,Động đất,Kon Tum
28,Động đất tại Điện Biên,2022-03-16,102.967,21.372,0,Động đất,Đien Bien
29,Động đất tại Điện Biên,2022-03-14,103.214,21.149,0,Động đất,Đien Bien
30,Động đất tại Điện Biên,2022-03-14,103.184,21.123,0,Động đất,Đien Bien
31,Động đất tại Kon Tum,2022-04-15,108.261,14.829,0,Động đất,Kon Tum
32,"Mưa lớn, ngập úng tại Phú Thọ",2022-02-18,105.378201,21.335651,0,Mưa lớn,Phu Tho
33,Động đất tại Kon Tum,2022-04-15,108.217,14.873,0,Động đất,Kon Tum
34,Động đất tại Kon Tum,2022-04-15,108.282,14.825,0,Động đất,Kon Tum
35,Động đất tại Kon Tum,2022-04-15,108.222,14.822,0,Động đất,Kon Tum
36,"Dông, lốc, mưa đá tại Nghệ An",2022-03-17,104.737947,19.021101,0,"Dông lốc, sét, mưa đá",Nghe An
37,Ngập lụt tại Tây Ninh,2022-05-03,106.001104,11.320497,0,Ngập lụt,Tay Ninh
38,Lốc tại Cà Mau,2022-05-22,104.868035,9.417334,0,Lốc,Ca Mau
39,Động đất tại Kon Tum,2022-06-24,108.272,14.854,0,Động đất,Kon Tum
40,Động đất tại Kon Tum,2022-04-18,108.192,14.876,0,Động đất,Kon Tum
41,Động đất tại Kon Tum,2022-06-24,108.288,14.892,0,Động đất,Kon Tum
42,Động đất tại Kon Tum,2022-06-24,108.268,14.862,0,Động đất,Kon Tum
43,Sét đánh tại Lâm Đồng,2022-04-26,108.071134,11.551824,0,Sét,Lam Đong
44,"Mưa đá, lốc tại Đắk Nông",2022-03-19,107.875136,12.156484,0,"Dông lốc, sét, mưa đá",Đak Nong
45,Động đất tại Kon Tum,2022-03-20,108.255,14.92,0,Động đất,Kon Tum
46,Lốc tại Cà Mau,2022-05-27,105.046609,9.118151,0,Lốc,Ca Mau
47,"Mưa kèm dông, lốc tại Gia Lai",2022-03-18,108.408673,13.623718,0,Lốc,Gia Lai
48,"Mưa lớn kèm dông, lốc xoáy tại Gia Lai",2022-03-19,107.898182,13.428428,0,Lốc,Gia Lai
49,Mưa lớn kèm mưa đá tại Lâm Đồng,2022-03-27,108.404222,11.947367,0,Mưa đá,Lam Đong
50,"Mưa to kèm dông, lốc tại An Giang",2022-03-19,105.152416,10.898442,0,Lốc,An Giang
51,"Dông lốc, sét tại Sơn La",2022-03-14,103.50565379650251,21.292749073880152,0,"Dông lốc, sét, mưa đá",Son La
52,Động đất tại Kon Tum,2022-06-25,108.298,14.815,0,Động đất,Kon Tum
53,Động đất tại Kon Tum,2022-06-25,108.256,14.866,0,Động đất,Kon Tum
54,Sạt lở đất ven sông tại Cà Mau,2022-04-25,105.119294,8.846343,0,Sạt lở đất,Ca Mau
55,"Mưa lũ, sạt lở đất tại Bắc Kạn",2022-03-22,105.622837,22.287443,0,Lũ,Bac Kan
